Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Availability_365,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,No_of_reviews,Review_scores,Amenities,Host_id,Host_name,Street,Country,Country_code,Location_type,Longitude,Latitude,Is_location_exact
A bedroom far away from home,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2,1.0,1.0,34,45.0,509.4304235090752,94.07480119284294,10.0,1.0,239,95.0,"Wifi, Kitchen, Free street parking, Heating, Family/kid friendly, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_50, Private entrance, Hot water, Host greets you",1017772,Lane,"Queens, NY, United States",United States,US,Point,-73.82257,40.71485,True
Catete's Colonial Big Hause Room B,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,8,1.0,8.0,296,250.0,0.0,0.0,40.0,4.0,1,80.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Smoking allowed, Family/kid friendly, First aid kit, Fire extinguisher, Essentials",51326285,Beatriz,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.18015675229857,-22.92638234778768,True
Double Room en-suite (307),Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,365,361.0,509.4304235090752,94.07480119284294,130.0,2.0,0,95.0,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Doorman, Elevator, Family/kid friendly, Shampoo, Hangers, Hair dryer, Iron",51289938,Ken,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,Point,114.17158,22.30469,True
3 chambres au coeur du Plateau,Apartment,Entire home/apt,Real Bed,1,1125,flexible,6,3.0,3.0,0,140.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Internet, Wifi, Kitchen, Heating, Family/kid friendly, Washer, Dryer, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",9036477,Margaux,"Montréal, Québec, Canada",Canada,CA,Point,-73.57383,45.52233,True
2 bedroom Upper east side,Apartment,Entire home/apt,Real Bed,2,7,strict_14_with_grace_period,5,2.0,2.0,0,275.0,0.0,35.0,0.0,1.0,9,90.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Pets allowed, Pets live on this property, Buzzer/wireless intercom, Heating, Family/kid friendly, Essentials, Shampoo, Hair dryer, Iron, Laptop friendly workspace",52004369,Chelsea,"New York, NY, United States",United States,US,Point,-73.95854,40.7664,False
A Casa Alegre é um apartamento T1.,Apartment,Entire home/apt,Real Bed,7,180,moderate,2,1.0,1.0,46,40.0,250.0,15.0,0.0,2.0,12,96.0,"TV, Kitchen, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Hangers, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, Bathtub, Beachfront",51920973,Manuela,"Vila do Conde, Porto, Portugal",Portugal,PT,Point,-8.75383,41.3596,False
Sydney Hyde Park City Apartment (checkin from 6am),Apartment,Entire home/apt,Real Bed,2,30,moderate,2,1.0,1.0,265,185.0,800.0,120.0,0.0,1.0,109,100.0,"TV, Wifi, Air conditioning, Pool, Kitchen, Gym, Elevator, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Self check-in, Building staff, Private living room, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Cleaning before checkout, Step-free access, Flat path to front door, Well-lit path to entrance, Step-free access",16187044,Desireé,"Darlinghurst, NSW, Australia",Australia,AU,Point,151.21346,-33.87603,False
Nice room in Barcelona Center,Apartment,Private room,Real Bed,1,9,flexible,2,1.0,2.0,0,50.0,100.0,10.0,0.0,1.0,0,95.0,"Internet, Wifi, Kitchen, Elevator, Heating, Washer, Shampoo, Hair dryer, Iron, Laptop friendly workspace",30393403,Anna,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.16942,41.40082,True
Charming Flat in Downtown Moda,House,Entire home/apt,Real Bed,2,1125,flexible,6,2.0,6.0,362,527.0,509.4304235090752,211.0,211.0,1.0,1,100.0,"TV, Cable TV, Internet, Wifi, Kitchen, Free parking on premises, Pets allowed, Pets live on this property, Cat(s), Heating, Family/kid friendly, Washer, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",1241644,Zeynep,"Kadıköy, İstanbul, Turkey",Turkey,TR,Point,29.03133,40.98585,True
The LES Apartment,Apartment,Entire home/apt,Real Bed,3,1125,flexible,3,1.0,1.0,0,150.0,200.0,94.07480119284294,0.0,1.0,0,95.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom, Family/kid friendly, Washer, Dryer, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",33231070,Mert,"New York, NY, United States",United States,US,Point,-73.98944,40.72063,False
Ribeira Charming Duplex,House,Entire home/apt,Real Bed,2,30,moderate,8,3.0,5.0,239,80.0,200.0,35.0,15.0,6.0,51,89.0,"TV, Cable TV, Wifi, Kitchen, Paid parking off premises, Smoking allowed, Pets allowed, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, First aid kit, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Pack ’n Play/travel crib, Room-darkening shades, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Cleaning before checkout, Waterfront",51399391,Ana&Gonçalo,"Porto, Porto, Portugal",Portugal,PT,Point,-8.61308,41.1413,False
Room Close to LGA and 35 mins to Times Square,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,365,46.0,0.0,15.0,10.0,1.0,123,99.0,"Internet, Wifi, Air conditioning, Pets live on this property, Dog(s), Other pet(s), Elevator, Buzzer/wireless intercom, Heating, First aid kit, Essentials, Shampoo, Hangers, Hair dryer, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Host greets you",52031360,Cheer,"Queens, NY, United States",United States,US,Point,-73.88025,40.74953,True
Be Happy in Porto,Loft,Entire home/apt,Real Bed,2,1125,moderate,2,1.0,1.0,335,30.0,0.0,10.0,0.0,1.0,178,97.0,"TV, Cable TV, Wifi, Kitchen, Smoking allowed, First aid kit, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Stove, Long term stays allowed, Well-lit path to entrance, Step-free access, Wide clearance to bed, Accessible-height bed, Step-free access, Step-free access, Handheld shower head, Paid parking on premises",27518920,Fábio,"Porto, Porto, Portugal",Portugal,PT,Point,-8.61123,41.15225,False
Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1.0,2.0,0,50.0,509.4304235090752,94.07480119284294,31.0,1.0,0,95.0,"Internet, Wifi, Kitchen, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Iron, Laptop friendly workspace",51612949,Konstantin,"Montréal, Québec, Canada",Canada,CA,Point,-73.59111,45.51889,True
Deluxe Loft Suite,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,0.0,2.0,243,205.0,509.4304235090752,94.07480119284294,0.0,1.0,5,88.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Doorman, Gym, Elevator, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron",47554473,Mae,"Brooklyn, NY, United States",United States,US,Point,-73.94472,40.72778,True
Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2,1.0,1.0,343,115.0,509.4304235090752,100.0,0.0,1.0,96,84.0,"TV, Cable TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Elevator, Hot tub, Washer, Dryer, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Stove, BBQ grill, Garden or backyard, Well-lit path to entrance, Disabled parking spot, Step-free access, Wide clearance to bed, Step-free access",5448114,David,"Honolulu, HI, United States",United States,US,Point,-157.83919,21.28634,True
Apto semi mobiliado,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2,2.0,2.0,365,380.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Air conditioning, Kitchen, Free parking on premises, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Essentials, Hangers, Iron",52299431,Ricardo,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.24277868091869,-22.915009354482486,False
Twin Bed room+MTR Mongkok shopping&My,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,3,1.0,2.0,145,400.0,509.4304235090752,94.07480119284294,0.0,1.0,22,83.0,"TV, Wifi, Air conditioning, Doorman, Elevator, Family/kid friendly, Smoke detector, Essentials, Lock on bedroom door, Hangers, Hair dryer",52473150,Danny,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,Point,114.17073,22.31723,True
Cozy Queen Guest Room&My,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,2,1.0,1.0,135,330.0,509.4304235090752,94.07480119284294,0.0,1.0,9,73.0,"TV, Wifi, Air conditioning, Doorman, Elevator, Family/kid friendly, Smoke detector, Essentials, Lock on bedroom door, Hangers, Hair dryer",52473150,Danny,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,Point,114.17034,22.31655,True
Uygun nezih daire,Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1.0,2.0,365,264.0,527.0,26.0,53.0,1.0,0,95.0,"TV, Internet, Wifi, Kitchen, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",37417314,Yaşar,"Zeytinburnu, İstanbul, Turkey",Turkey,TR,Point,28.89964,40.99667,False
Ipanema: moderno apê 2BR + garagem,Apartment,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,4,2.0,2.0,174,298.0,600.0,180.0,50.0,2.0,24,92.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Free parking on premises, Smoking allowed, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Dryer, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Luggage dropoff allowed, Long term stays allowed, Host greets you",2537111,Barbara,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.1998455458952,-22.980051683700506,False
Quarto inteiro na Tijuca,Apartment,Private room,Real Bed,1,15,flexible,1,1.0,1.0,178,149.0,509.4304235090752,30.0,0.0,1.0,1,100.0,"Internet, Wifi, Kitchen, Free parking on premises, Family/kid friendly, Washer",12673423,Gilberto,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.247421907135774,-22.936203246553816,False
Large railroad style 3 bedroom apt in Manhattan!,Apartment,Entire home/apt,Real Bed,3,6,strict_14_with_grace_period,9,3.0,4.0,0,180.0,199.0,59.0,19.0,4.0,22,95.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Free street parking, Buzzer/wireless intercom, Heating, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, 24-hour check-in, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Microwave, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, Other",35215309,Vick,"New York, NY, United States",United States,US,Point,-73.93943,40.79805,True
Private Room (2)  in Guest House at Coogee Beach,House,Private room,Real Bed,3,365,strict_14_with_grace_period,2,1.0,2.0,20,64.0,0.0,30.0,0.0,1.0,8,100.0,"TV, Internet, Wifi, Kitchen, Smoking allowed, Doorman, Free street parking, Family/kid friendly, Washer, Dryer, Smoke detector, Safety card, Fire extinguisher, Essentials, Lock on bedroom door, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Hot water",5595776,David,"Coogee, NSW, Australia",Australia,AU,Point,151.25541,-33.92398,True
Resort-like living in Williamsburg,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,4,2.0,2.0,0,220.0,509.4304235090752,25.0,0.0,1.0,1,100.0,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Pool, Kitchen, Doorman, Gym, Elevator, Hot tub, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, 24-hour check-in, Hangers, Iron",14461742,Mohammed,"Brooklyn, NY, United States",United States,US,Point,-73.93869,40.71552,True
Great studio opp. Narrabeen Lake,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2,0.0,1.0,26,117.0,0.0,0.0,20.0,1.0,61,97.0,"TV, Cable TV, Internet, Wifi, Pool, Kitchen, Free parking on premises, Pets live on this property, Dog(s), Heating, Washer, First aid kit, Essentials, Shampoo, Hangers, Hair dryer, Iron, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection",634664,Tracy,"Narrabeen, NSW, Australia",Australia,AU,Point,151.29792,-33.71472,True
Makaha Valley Paradise with OceanView,Condominium,Entire home/apt,Pull-out Sofa,3,180,moderate,4,1.0,2.0,246,95.0,0.0,130.0,0.0,1.0,32,98.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Elevator, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Long term stays allowed, Other, Paid parking on premises",42868615,Ray And Lise,"Waianae, HI, United States",United States,US,Point,-158.20291,21.4818,True
Cozy Art Top Floor Apt in PRIME Williamsburg!,Apartment,Entire home/apt,Real Bed,2,300,strict_14_with_grace_period,2,1.0,2.0,363,175.0,300.0,90.0,300.0,2.0,117,96.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Free street parking, Heating, Smoke detector, Carbon monoxide detector, First aid kit, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Luggage dropoff allowed, Long term stays allowed, Other",465278,Ade,"Brooklyn, NY, United States",United States,US,Point,-73.96053,40.71577,True
"Friendly Apartment, 10m from Manly",Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,0,36.0,509.4304235090752,94.07480119284294,20.0,2.0,4,95.0,"Internet, Wifi, Kitchen, Free parking on premises, Heating, Family/kid friendly, Washer, Dryer, First aid kit, Essentials",52453573,Isaac,"Fairlight, NSW, Australia",Australia,AU,Point,151.26969,-33.79629,False
Small Room w Bathroom Flamengo Rio de Janeiro,Apartment,Private room,Real Bed,4,1125,moderate,1,1.0,1.0,0,71.0,509.4304235090752,20.0,0.0,1.0,1,80.0,"TV, Wifi, Kitchen, Pets live on this property, Cat(s), Elevator, Washer, Dryer, Fire extinguisher, Essentials, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50",52988408,Fernanda,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.17645081249057,-22.93848268819496,False
THE Place to See Sydney's FIREWORKS,House,Entire home/apt,Real Bed,2,1125,moderate,2,1.0,1.0,0,250.0,400.0,150.0,0.0,1.0,0,95.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",6517277,Kristin,"Rozelle, NSW, Australia",Australia,AU,Point,151.17956,-33.86296,True
,Apartment,Private room,Real Bed,1,1125,flexible,4,1.0,2.0,0,105.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Internet, Wifi, Kitchen, Smoking allowed, Doorman, Heating, Washer, First aid kit, Essentials, Shampoo, Lock on bedroom door, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",53319251,Seda,"Istanbul, İstanbul, Turkey",Turkey,TR,Point,29.05108,41.08835,False
Cozy house at Beyoğlu,Apartment,Private room,Pull-out Sofa,2,1125,flexible,2,1.0,1.0,37,58.0,0.0,0.0,60.0,1.0,27,99.0,"Wifi, Kitchen, Smoking allowed, Breakfast, Pets live on this property, Cat(s), Free street parking, Heating, Washer, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Bed linens, Extra pillows and blankets, Coffee maker, Refrigerator, Dishwasher, Cooking basics, Patio or balcony, Luggage dropoff allowed, Host greets you",21331922,Ali,"Beyoğlu, İstanbul, Turkey",Turkey,TR,Point,28.95825,41.03777,False
UWS Brownstone Near Central Park,Apartment,Entire home/apt,Real Bed,21,30,moderate,3,1.0,3.0,5,212.0,275.0,120.0,0.0,1.0,45,93.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Private entrance",178043,Chas,"New York, NY, United States",United States,US,Point,-73.9696,40.78558,True
Luxury 1-Bdrm in Downtown Brooklyn,Apartment,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,2,1.0,1.0,0,144.0,250.0,150.0,0.0,1.0,1,95.0,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Kitchen, Doorman, Gym, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",10099253,Ashley,"Brooklyn, NY, United States",United States,US,Point,-73.98102,40.69406,True
Jardim Botânico Gourmet 2 bdroom,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,6,2.0,5.0,342,395.0,1000.0,300.0,35.0,4.0,9,91.0,"TV, Cable TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Pets allowed, Gym, Elevator, Free street parking, Family/kid friendly, Washer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Building staff, Private living room, Changing table, Stair gates, Children’s books and toys, Window guards, Babysitter recommendations, Room-darkening shades, Children’s dinnerware, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Garden or backyard, Beach essentials, Luggage dropoff allowed, Long term stays allowed",3665789,Roberta (Beta) Gatti,"Rio de Janeiro, RJ, Brazil",Brazil,BR,Point,-43.22076222600562,-22.96448811710617,False
PORTO DOWNTOWN FLATS-RIBEIRA STUDIO,Apartment,Entire home/apt,Real Bed,2,28,strict_14_with_grace_period,4,0.0,2.0,243,55.0,150.0,25.0,7.0,2.0,62,97.0,"TV, Cable TV, Wifi, Kitchen, Paid parking off premises, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, High chair, Pack ’n Play/travel crib, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Stove, Long term stays allowed, Step-free access, Wide doorway, Step-free access, Wide doorway, Wide clearance to bed, Accessible-height bed, Step-free access, Wide doorway, Accessible-height toilet, Host greets you, Paid parking on premises",35484736,Tim,"Porto, Porto, Portugal",Portugal,PT,Point,-8.61279,41.14106,False
Roof double bed private room,Loft,Private room,Real Bed,1,1125,flexible,2,1.0,2.0,365,185.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Doorman, Elevator, Heating, Family/kid friendly, Washer, Essentials, 24-hour check-in, Hair dryer, Iron, Laptop friendly workspace",52316085,Mustafa,"Istanbul, İstanbul, Turkey",Turkey,TR,Point,29.03693,41.12452,False
Cozy House in Ortaköy,Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,2.0,365,100.0,509.4304235090752,100.0,0.0,1.0,0,95.0,"Internet, Wifi, Kitchen, Smoking allowed, Heating, Family/kid friendly, Washer, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",53849209,Orcun,"Beşiktaş, İstanbul, Turkey",Turkey,TR,Point,29.02519,41.05197,True
"Cozy Nest, heart of the Plateau",Apartment,Private room,Real Bed,2,120,strict_14_with_grace_period,1,1.0,1.0,0,34.0,0.0,25.0,10.0,1.0,62,98.0,"TV, Wifi, Kitchen, Paid parking off premises, Pets live on this property, Cat(s), Free street parking, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill, Garden or backyard, Luggage dropoff allowed, Long term stays allowed",39300,Lilou,"Montreal, QC, Canada",Canada,CA,Point,-73.58774,45.52028,True
